feds_index,ref_index,incident_name,feds_timestamp,ref_timestamp,ratio,accuracy,precision,recall,iou,f1,symm_ratio
2943,4582,INDIA,2020-07-01T00:00:00,2020-06-14T00:00:00.000000000,13.775863706722935,0.7081779556648068,0.07226006337972461,0.9954447845582473,0.06970580960498048,0.1347393024619367,12.784974137606428
1856,15063,Man Field Burn,2020-07-02T12:00:00,2020-06-14T00:00:00.000000000,6.680461915243205,0.7958281553534521,0.06770705664355142,0.4523144133004597,0.053665712712333724,0.1177831277055781,6.775833088642138
1831,4996,GRANT FIRE,2020-07-02T12:00:00,2020-06-12T00:00:00.000000000,0.5655906337292624,1.1360303104039315,0.9029813351706768,0.5107177856048787,0.2519363015029348,0.6524282588333331,0.5441550625194583
1844,4953,WALKER,2020-07-06T12:00:00,2020-06-23T00:00:00.000000000,1.003177815848211,1.2783520940229152,0.8065465391447683,0.8091095955191823,0.4883522460863199,0.8078260343319336,0.38495862480980897
2037,4989,GRADE,2020-07-07T00:00:00,2020-06-25T00:00:00.000000000,1.2685744525932945,0.7109370038765516,0.7394501166170744,0.938047526907553,0.5712682275446405,0.8269929389667902,0.3924793987781731
2012,4955,PASS,2020-07-08T12:00:00,2020-07-01T00:00:00.000000000,0.5670971603636485,0.49063073735038903,0.8557050289041566,0.48526789200044096,0.2893065892517331,0.6193207470146056,0.5965613763626622
1975,5039,CREWS,2020-07-06T00:00:00,2020-07-15T00:00:00.000000000,0.9611804938792812,0.9157067750873836,0.8664553012665096,0.832819934395665,0.5204158283662941,0.8493047294676269,0.2955406250879506
1890,5007,MINERAL,2020-07-21T12:00:00,2020-07-26T00:00:00.000000000,0.9859770846545237,2.0723442691255216,0.9190385523545134,0.9061509525356171,0.6380835410579362,0.9125492529972963,0.17367517958328602
1819,5081,HOG,2020-07-23T12:00:00,2020-08-28T00:00:00.000000000,1.2814909536171488,1.2662975735517283,0.778434526814331,0.9975568040958112,0.5389567602038112,0.8744779833680713,0.2863773454255321
1769,5130,GOLD,2020-07-26T12:00:00,2020-10-29T00:00:00.000000000,1.1460681500001584,1.5998562351842058,0.7226222372666804,0.8281743306132,0.39480965637304594,0.7718061801654703,0.48971948877373295
