feds_index,ref_index,incident_name,feds_timestamp,ref_timestamp,ratio,accuracy,precision,recall,iou,f1,symm_ratio
1965,4978,TOPAZ,2020-12-05T12:00:00,2020-06-12T00:00:00.000000000,36.34336594160361,0.44739723738118964,0.01482820701495074,0.5389069538022084,0.014105812436929346,0.028862259210641825,36.2655520339989
2220,4935,SILVERADO,2020-12-01T12:00:00,2020-11-02T00:00:00.000000000,0.0021851194128972157,0.5466656143055588,0.9999999999999997,0.002185119412897215,0.0021838049430361575,0.004360710153384252,0.9978148805871023
2264,5045,AIRPORT,2020-12-18T00:00:00,2020-12-13T00:00:00.000000000,1.15706756944949,0.9097051570825888,0.6772477578814357,0.7836214171269894,0.32802213713290457,0.7265617713838971,0.5898247351954745
